source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,exam_chairs,listing_code
pc-ca-76748,Sacramento Area Grossing Over 1 2 Million,,CA,,1200000,Independent,,Practice Concepts,https://practiceconcepts.com/listings/sacramento-area-grossing-over-1-2-million,,CA-76748
pc-ca-76747,Bay Area Practice For Sale,,CA,,1000000,Independent,,Practice Concepts,https://practiceconcepts.com/listings/bay-area-practice-for-sale,,CA-76747
pc-ca-76746,Turnkey Optometry Practice With 40 Year Legacy Grossing 500K,,CA,,500000,Independent,,Practice Concepts,https://practiceconcepts.com/listings/turnkey-optometry-practice-with-40-year-legacy-grossing-500k,,CA-76746
pc-76722-ca,Ca 76722 Optometry Practice For Sale Silicon Valley Ca,,CA,,300000,Independent,,Practice Concepts,https://practiceconcepts.com/listings/ca-76722-optometry-practice-for-sale-silicon-valley-ca,,76722-CA
